Census Tract Name,Block Group,Place Name,Total persons,Male persons age under 5 years,Male persons age 5 years,Male persons age 6 years,Male persons age 7-9 years,Male persons age 10-13 years,Male persons age 14 years,Male persons age 15 years,Male persons age 16 years,Male persons age 17 years,Male persons age 18 years,Male persons age 19 years,Male persons age 20 years,Male persons age 21 years,Male persons age 22-24 years,Male persons age 25-34 years,Male persons age 35-44 years,Male persons age 45-54 years,Male persons age 55-59 years,Male persons age 60-61 years,Male persons age 62-64 years,Male persons age 65-74 years,Male persons age 75 and over,Female persons age under 5 years,Female persons age 5 years,Female persons age 6 years,Female persons age 7-9 years,Female persons age 10-13 years,Female persons age 14 years,Female persons age 15 years,Female persons age 16 years,Female persons age 17 years,Female persons age 18 years,Female persons age 19 years,Female persons age 20 years,Female persons age 21 years,Female persons age 22-24 years,Female persons age 25-34 years,Female persons age 35-44 years,Female persons age 45-54 years,Female persons age 55-59 years,Female persons age 60-61 years,Female persons age 62-64 years,Female persons age 65-74 years,Female persons age 75 and over,Black male persons age under 5 years,Black male persons age 5-14 years,Black male persons age 15-24 years,Black male persons age 25-34 years,Black male persons age 35-44 years,Black male persons age 45-54 years,Black male persons age 55-64 years,Black male persons age 65 and over,Black female persons age under 5 years,Black female persons age 5-14 years,Black female persons age 15-24 years,Black female persons age 25-34 years,Black female persons age 35-44 years,Black female persons age 45-54 years,Black female persons age 55-64 years,Black female persons age 65 and over,Other nonwhite races male age under 5 years,Other nonwhite races male age 5-14 years,Other nonwhite races male age 15-24 years,Other nonwhite races male age 25-34 years,Other nonwhite races male age 35-44 years,Other nonwhite races male age 45-54 years,Other nonwhite races male age 55-64 years,Other nonwhite races male age 65 and over,Other nonwhite races female age under 5 years,Other nonwhite races female age 5-14 years,Other nonwhite races female age 15-24 years,Other nonwhite races female age 25-34 years,Other nonwhite races female age 35-44 years,Other nonwhite races female age 45-54 years,Other nonwhite races female age 55-64 years,Other nonwhite races female age 65 and over,White persons,Black persons,Indian persons,Other specified race persons,"Reported ""other race"" persons",Male persons now married (excludes separated),Male persons widowed,Male persons divorced,Male persons separated,Male persons never married,Female persons now married (excludes separated),Female persons widowed,Female persons divorced,Female persons separated,Female persons never married,Black male persons now married (excludes separated),Black male persons widowed,Black male persons divorced,Black male persons separated,Black male persons never married,Black female persons now married (excludes separated),Black female persons widowed,Black female persons divorced,Black female persons separated,Black female persons never married,Total persons family head of husband-wife household,Total persons family head of household with other male head,Total persons family head of household with female head,Total persons wife of head,Total persons other relative of head,Total persons male primary individual,Total persons female Primary individual,"Total persons nonrelative (includes roomer, boarder or lodger) of head of household",Total persons inmate of institution,Total persons other in group quarters,Black persons family head of husband-wife household,Black persons family head of household with other male head,Black persons family head of household with female head,Black persons wife of head,Black persons other relative of head,Black persons male primary individual,Black persons female Primary individual,"Black persons nonrelative (includes roomer, boarder or lodger) of head of household",Black persons inmate of institution,Black persons other in group quarters,Persons under 18 head or wife of head of household,Persons under 18 own (never married) in husband wife family,Persons under 18 own (never married) in other family with male head,Persons under 18 own (never married) in family with female head,Persons under 18 other relative of head in husband wife family,Persons under 18 other relative of head in other family with male head,Persons under 18 other relative of head in family with female head,"Persons under 18 nonrelative (includes roomer, boarder or lodger) of head of household",Persons under 18 inmate of institution,Persons under 18 other in group quarters,Persons 65 and over head of family,Persons 65 and over wife of head,Persons 65 and over other family member,Persons 65 and over male primary individual,Persons 65 and over female primary individual,"Persons 65 and over nonrelative (includes roomer, boarder or lodger) of head of household",Persons 65 and over inmate of institution,Persons 65 and over other in group quarters,Husband-wife family no members under 18 or 65 and over,"Husband-wife family members under 18, none 65 and over","Husband-wife family members 65 and over, none under 18",Husband-wife family members under 18 and 65 and over,Other family with male head no members under 18 or 65 and over,"Other family with male head members under 18, none 65 and over","Other family with male head members 65 and over, none under 18",Other family with male head members under 18 and 65 and over,Family with female head no members under 18 or 65 and over,"Family with female head members under 18, none 65 and over","Family with female head members 65 and over, none under 18",Family with female head members under 18 and 65 and over
Census Tract 1    ,1,San Diego,901,31,6,9,29,32,9,15,6,11,8,2,3,4,13,42,45,50,20,6,14,30,20,34,5,14,24,34,10,6,6,7,10,5,5,1,22,48,56,61,17,15,19,54,43,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,2,0,1,3,0,0,1,1,3,0,1,2,1,0,2,883,0,0,18,0,198,7,5,2,86,202,63,25,1,94,...,...,...,...,...,...,...,...,...,...,194,5,27,194,369,14,56,42,0,0,...,...,...,...,...,...,...,...,...,...,0,243,0,33,6,0,1,5,0,0,53,28,16,4,39,7,0,0,95,94,2,3,2,0,3,0,6,15,5,1
Census Tract 1    ,2,San Diego,683,28,2,9,14,21,6,3,9,4,12,6,5,5,8,27,32,32,21,3,18,19,16,23,7,5,20,39,4,9,12,5,7,4,3,6,13,31,40,46,23,10,14,26,36,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2,0,0,0,1,1,0,0,2,1,0,0,1,0,0,0,673,2,0,8,0,146,11,4,0,65,148,46,22,7,66,...,...,...,...,...,...,...,...,...,...,142,3,29,142,303,9,40,15,0,0,...,...,...,...,...,...,...,...,...,...,0,172,2,37,8,0,1,0,0,0,27,11,17,6,32,4,0,0,71,63,3,5,0,1,1,1,6,17,6,0
Census Tract 1    ,3,San Diego,532,18,4,4,15,26,6,7,7,4,3,2,2,6,2,19,28,38,13,9,5,17,14,12,4,3,13,26,7,8,6,9,7,6,5,1,3,23,41,27,23,12,6,25,16,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,529,0,1,0,2,125,4,5,0,48,126,28,14,1,56,...,...,...,...,...,...,...,...,...,...,121,3,12,121,228,13,19,15,0,0,...,...,...,...,...,...,...,...,...,...,0,156,1,13,4,2,0,3,0,0,28,21,7,6,10,0,0,0,56,61,2,2,1,1,0,1,5,5,2,0
Census Tract 1    ,4,San Diego,421,9,3,5,5,7,3,4,1,7,5,2,2,4,5,21,12,35,14,7,12,25,9,11,1,4,3,17,5,6,6,5,4,6,3,4,3,15,20,38,17,7,8,30,11,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,415,0,4,2,0,111,5,6,1,45,109,24,12,0,43,...,...,...,...,...,...,...,...,...,...,107,1,11,107,144,14,24,13,0,0,...,...,...,...,...,...,...,...,...,...,1,89,2,8,1,1,0,0,0,0,31,20,3,4,13,4,0,0,73,33,0,1,0,1,0,0,5,4,2,0
Census Tract 1    ,5,San Diego,489,12,2,4,6,13,4,3,4,2,2,0,3,6,6,19,32,32,17,7,8,18,12,17,3,2,13,18,2,3,3,5,2,2,5,2,6,25,34,38,21,6,19,31,20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,483,3,0,1,2,126,4,8,2,35,128,33,20,0,43,...,...,...,...,...,...,...,...,...,...,126,2,15,126,153,16,42,9,0,0,...,...,...,...,...,...,...,...,...,...,0,102,3,8,2,0,0,1,0,0,26,18,8,3,23,3,0,0,70,51,4,1,1,1,0,0,6,6,3,0
Census Tract 1    ,6,San Diego,498,19,2,3,11,11,7,4,14,2,2,2,3,1,2,10,25,30,19,7,11,16,15,13,4,7,10,11,5,7,5,5,5,2,2,1,10,25,23,39,27,8,17,24,32,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,496,2,0,0,0,126,3,0,4,37,129,42,12,2,52,...,...,...,...,...,...,...,...,...,...,125,0,13,125,188,3,28,16,0,0,...,...,...,...,...,...,...,...,...,...,0,120,0,13,5,0,1,1,0,0,31,16,14,2,21,3,0,0,59,57,5,4,0,0,0,0,4,5,3,1
Census Tract 1    ,9,San Diego,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,6,0,0,0,0,3,0,0,0,0,3,0,0,0,0,...,...,...,...,...,...,...,...,...,...,3,0,0,3,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Census Tract 2    ,1,San Diego,"1,082",32,10,5,21,34,8,3,7,4,7,6,4,10,28,70,72,43,38,12,13,34,30,28,8,4,27,34,9,4,5,6,4,6,7,11,26,72,62,72,37,14,22,87,46,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,"1,077",0,1,4,0,245,13,17,9,105,244,89,43,6,108,...,...,...,...,...,...,...,...,...,...,239,4,40,239,328,61,117,54,0,0,...,...,...,...,...,...,...,...,...,...,0,201,1,35,10,0,1,1,0,0,59,44,10,14,63,7,0,0,150,89,0,0,2,1,1,0,14,18,8,0
Census Tract 2    ,2,San Diego,"2,151",83,18,14,42,52,11,15,12,14,13,11,18,32,80,174,99,105,46,23,23,61,52,76,13,18,36,42,14,20,13,18,11,21,22,23,81,158,91,135,56,20,42,103,140,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0,0,4,1,4,0,0,1,2,0,0,0,3,2,1,0,"2,132",1,5,5,8,466,27,55,13,228,481,196,81,15,195,...,...,...,...,...,...,...,...,...,...,444,16,76,444,650,134,188,89,91,19,...,...,...,...,...,...,...,...,...,...,1,395,11,75,12,2,6,5,0,4,74,52,22,24,89,8,80,7,234,202,5,3,5,7,3,1,21,45,7,3
Census Tract 2    ,3,San Diego,"1,348",39,2,8,23,37,7,8,6,4,10,21,22,24,80,134,66,74,32,10,19,38,18,54,2,5,21,33,7,9,13,10,18,26,21,29,60,82,52,82,39,12,20,40,31,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,2,3,2,1,0,0,0,0,2,1,3,3,1,0,0,"1,328",1,5,11,3,310,14,63,16,170,325,72,51,5,98,...,...,...,...,...,...,...,...,...,...,303,5,43,303,353,166,103,72,0,0,...,...,...,...,...,...,...,...,...,...,5,210,11,50,5,0,2,5,0,0,44,18,8,18,29,10,0,0,189,111,1,2,2,3,0,0,13,25,5,0
